ds_cargo,cd_municipio,nm_municipio,nr_turno,sg_uf,nr_zona,qt_secoes_agregadas,qt_aptos_tot,qt_comparecimento,qt_votos_nom_validos,qt_votos_brancos,qt_total_vt_leg_validos,qt_total_votos_anulados,qt_votos_validos,qt_votos,qt_total_votos_nulos
Presidente,44539,DOM SILVÉRIO,1,MG,12,5,4461,3468,3264,49,0,0,3264,3468,155
Presidente,44555,DOM VIÇOSO,1,MG,99,0,2873,2421,2325,44,0,0,2325,2421,52
Presidente,44571,DONA EUSÉBIA,1,MG,79,0,5607,4682,4520,60,0,0,4520,4682,102
Presidente,44598,DORES DE CAMPOS,1,MG,228,0,7812,6769,6247,213,0,0,6247,6769,309
Presidente,44610,DORES DE GUANHÃES,1,MG,121,3,5134,3714,3453,51,0,0,3453,3714,210
Presidente,44636,DORES DO INDAIÁ,1,MG,104,10,11305,8089,7739,136,0,0,7739,8089,214
Presidente,44652,DORES DO TURVO,1,MG,261,1,5206,3977,3793,50,0,0,3793,3977,134
Presidente,44679,DORESÓPOLIS,1,MG,220,0,2263,1557,1496,23,0,0,1496,1557,38
Presidente,44695,DOURADOQUARA,1,MG,181,0,1980,1633,1588,17,0,0,1588,1633,28
Presidente,44717,ELÓI MENDES,1,MG,281,0,19982,16009,15245,322,0,0,15245,16009,442
Presidente,44733,ENGENHEIRO CALDAS,1,MG,267,1,7828,5424,5149,89,0,0,5149,5424,186
Presidente,44750,ENGENHEIRO NAVARRO,1,MG,44,1,6207,4560,4323,56,0,0,4323,4560,181
Presidente,44776,ENTRE RIOS DE MINAS,1,MG,106,6,12464,10019,9477,192,0,0,9477,10019,350
Presidente,44792,ERVÁLIA,1,MG,107,4,15521,12964,11778,567,0,0,11778,12964,619
Presidente,44814,ESMERALDAS,1,MG,108,3,52959,41226,38825,973,0,0,38825,41226,1428
Presidente,44830,ESPERA FELIZ,1,MG,303,5,17907,13897,13198,240,0,0,13198,13897,459
Presidente,44857,ESPINOSA,1,MG,109,21,23270,18187,17425,252,0,0,17425,18187,510
Presidente,44873,ESPÍRITO SANTO DO DOURADO,1,MG,164,0,5089,4142,3924,73,0,0,3924,4142,145
Presidente,44890,ESTIVA,1,MG,300,1,9251,7683,7258,200,0,0,7258,7683,225
Presidente,44911,ESTRELA DALVA,1,MG,7,4,2764,2158,2074,23,0,0,2074,2158,61
Presidente,44938,ESTRELA DO INDAIÁ,1,MG,104,1,2932,2161,2066,32,0,0,2066,2161,63
Presidente,44954,ESTRELA DO SUL,1,MG,110,2,5746,4450,4259,68,0,0,4259,4450,123
Presidente,44970,EUGENÓPOLIS,1,MG,111,1,9081,7240,6957,100,0,0,6957,7240,183
Presidente,44997,EWBANK DA CÂMARA,1,MG,250,0,4252,3452,3324,38,0,0,3324,3452,90
Presidente,45012,EXTREMA,1,MG,112,1,37041,28306,26753,653,0,0,26753,28306,900
Presidente,45039,FAMA,1,MG,8,0,3140,2369,2289,39,0,0,2289,2369,41
Presidente,45055,FARIA LEMOS,1,MG,69,2,3193,2546,2451,29,0,0,2451,2546,66
Presidente,45071,FELÍCIO DOS SANTOS,1,MG,294,0,5024,3337,3133,56,0,0,3133,3337,148
Presidente,45098,SÃO GONÇALO DO RIO PRETO,1,MG,101,1,3016,2116,1962,31,0,0,1962,2116,123
Presidente,45110,FELISBURGO,1,MG,149,0,5634,3827,3552,37,0,0,3552,3827,238
Presidente,45136,FELIXLÂNDIA,1,MG,100,0,11816,8681,8289,180,0,0,8289,8681,212
Presidente,45152,FERNANDES TOURINHO,1,MG,267,1,2756,1938,1829,21,0,0,1829,1938,88
Presidente,45179,FERROS,1,MG,113,3,8657,6183,5789,93,0,0,5789,6183,301
Presidente,45195,FLORESTAL,1,MG,172,1,6637,5291,5025,90,0,0,5025,5291,176
Presidente,45217,FORMIGA,1,MG,114,0,54800,43052,40580,1006,0,0,40580,43052,1466
Presidente,45233,FORMOSO,1,MG,324,1,5839,4472,4274,43,0,0,4274,4472,155
Presidente,45250,FORTALEZA DE MINAS,1,MG,293,1,3297,2342,2193,52,0,0,2193,2342,97
Presidente,45276,FORTUNA DE MINAS,1,MG,322,3,2633,2271,2192,27,0,0,2192,2271,52
Presidente,45292,FRANCISCO BADARÓ,1,MG,177,1,7224,4600,4317,72,0,0,4317,4600,211
Presidente,45314,FRANCISCO DUMONT,1,MG,44,2,4175,3115,2980,28,0,0,2980,3115,107
Presidente,45330,FRANCISCO SÁ,1,MG,115,14,19551,14384,13673,178,0,0,13673,14384,533
Presidente,45357,FREI GASPAR,1,MG,269,3,5343,3898,3677,38,0,0,3677,3898,183
Presidente,45373,FREI INOCÊNCIO,1,MG,119,2,6960,4936,4746,51,0,0,4746,4936,139
Presidente,45390,FRONTEIRA,1,MG,116,1,10337,7910,7649,78,0,0,7649,7910,183
Presidente,45411,FRUTAL,1,MG,116,0,41868,30846,29698,497,0,0,29698,30846,651
Presidente,45438,FUNILÂNDIA,1,MG,264,2,4914,3869,3699,44,0,0,3699,3869,126
Presidente,45454,GALILÉIA,1,MG,117,1,5462,3750,3621,42,0,0,3621,3750,87
Presidente,45470,GONÇALVES,1,MG,205,1,4011,3032,2842,79,0,0,2842,3032,111
Presidente,45497,GONZAGA,1,MG,3,0,4874,3132,2924,45,0,0,2924,3132,163
